21982,2,60652,7364
21897,2,60652,7449
21818,2,60652,7528
21739,1,60653,7607
21657,1,60653,7689
21574,1,60653,7772
21491,1,60653,7855
21415,1,60653,7931
21333,1,60653,8013
21252,1,60653,8094
21167,1,60653,8179
21081,1,60653,8265
20995,1,60653,8351
20909,1,60653,8437
20822,0,60654,8524
20730,0,60654,8616
20645,0,60654,8701
20559,0,60654,8787
20479,0,60654,8867
20396,0,60654,8950
20307,0,60654,9039
20217,0,60654,9129
20127,0,60654,9219
20030,0,60654,9316
19942,0,60654,9404
19853,0,60654,9493
19762,0,60654,9584
19669,0,60654,9677
19570,0,60654,9776
19479,0,60654,9867
19389,0,60654,9957
19295,0,60654,10051
19200,0,60654,10146
19105,0,60654,10241
19018,0,60654,10328
18925,0,60654,10421
18832,0,60654,10514
18730,0,60654,10616
18638,0,60654,10708
18540,0,60654,10806
18451,0,60654,10895
18355,0,60654,10991
18259,0,60654,11087
18161,0,60654,11185
18061,0,60654,11285
17960,0,60654,11386
17860,0,60654,11486
17759,0,60654,11587
17657,0,60654,11689
17555,0,60654,11791
17452,0,60654,11894
17359,0,60654,11987
17262,0,60654,12084
17157,0,60654,12189
17054,0,60654,12292
16949,0,60654,12397
16844,0,60654,12502
16748,0,60654,12598
16645,0,60654,12701
16541,0,60654,12805
16435,0,60654,12911
16339,0,60654,13007
16234,0,60654,13112
16129,0,60654,13217
16030,0,60654,13316
15929,0,60654,13417
15819,0,60654,13527
15709,0,60654,13637
15598,0,60654,13748
15487,0,60654,13859
15386,0,60654,13960
15282,0,60654,14064
15170,0,60654,14176
15057,0,60654,14289
14944,0,60654,14402
14830,0,60654,14516
14727,0,60654,14619
14621,0,60654,14725
14506,0,60654,14840
14391,0,60654,14955
14275,0,60654,15071
14159,0,60654,15187
14042,0,60654,15304
13924,0,60654,15422
13800,0,60654,15546
13685,0,60654,15661
13570,0,60654,15776
13462,0,60654,15884
13351,0,60654,15995
13231,0,60654,16115
13111,0,60654,16235
12990,0,60654,16356
12869,0,60654,16477
12759,0,60654,16587
12641,0,60654,16705
12522,0,60654,16824
12401,0,60654,16945
12278,0,60654,17068
12154,0,60654,17192
12042,0,60654,17304
11921,0,60654,17425
11800,0,60654,17546
11676,0,60654,17670
11550,0,60654,17796
11423,0,60654,17923
11297,0,60654,18049
11170,0,60654,18176
11042,0,60654,18304
10914,0,60654,18432
10785,0,60654,18561
10668,0,60654,18678
10542,0,60654,18804
10417,0,60654,18929
10287,0,60654,19059
10156,0,60654,19190
10025,0,60654,19321
9893,0,60654,19453
9761,0,60654,19585
9628,0,60654,19718
9495,0,60654,19851
9361,0,60654,19985
9227,0,60654,20119
9093,0,60654,20253
8958,0,60654,20388
8823,0,60654,20523
8687,0,60654,20659
8551,0,60654,20795
8414,0,60654,20932
8277,0,60654,21069
8139,0,60654,21207
8001,0,60654,21345
7876,0,60654,21470
7741,0,60654,21605
7607,0,60654,21739
7467,0,60654,21879
7342,0,60654,22004
7210,0,60654,22136
7069,0,60654,22277
6941,0,60654,22405
6809,0,60654,22537
6667,0,60654,22679
6524,0,60654,22822
6381,0,60654,22965
6237,0,60654,23109
6107,0,60654,23239
5967,0,60654,23379
5828,0,60654,23518
5683,0,60654,23663
5536,0,60654,23810
5390,0,60654,23956
5243,0,60654,24103
5097,0,60654,24249
4949,0,60654,24397
4817,0,60654,24529
4677,0,60654,24669
4528,0,60654,24818
4393,0,60654,24953
4248,0,60654,25098
4104,0,60654,25242
3953,0,60654,25393
3818,0,60654,25528
3671,0,60654,25675
3513,0,60654,25833
3372,0,60654,25974
3219,0,60654,26127
3066,0,60654,26280
2929,0,60654,26417
2784,0,60654,26562
2628,0,60654,26718
2489,0,60654,26857
2338,0,60654,27008
2189,0,60654,27157
2033,0,60654,27313
1893,0,60654,27453
1745,0,60654,27601
1587,0,60654,27759
1422,0,60654,27924
1270,0,60654,28076
1102,0,60654,28244
947,0,60654,28399
792,0,60654,28554
647,0,60654,28699
498,0,60654,28848
337,0,60654,29009
175,0,60654,29171
31,0,60654,29315
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
0,0,60654,29346
